date_vente;region;magasin;type_produit;Sexe_Client;remise;image_produit;prix_vente;profit;Âge_Client;saison;Alerte_Produit;marge_moyenne
2023-05-15;Occitanie;Lyon Part-Dieu;Lunettes de vue;Homme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;256.71;42.19;36;Printemps;✅ OK;0.16
2021-03-09;Île-de-France;Toulouse Jean Jaurès;Lunettes enfant;Femme;0.0;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;125.8;41.6;35;Printemps;✅ OK;0.33
2023-06-07;Nouvelle-Aquitaine;Bordeaux Centre;Lunettes de soleil;Homme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;174.95;59.01;37;Été;✅ OK;0.34
2021-09-06;Île-de-France;Toulouse Jean Jaurès;Lunettes de soleil;Homme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;246.94;109.99;22;Automne;✅ OK;0.45
2021-04-05;Auvergne-Rhône-Alpes;Marseille Prado;Accessoires;Homme;0.3;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;192.79;42.76;31;Printemps;✅ OK;0.22
2024-10-17;Auvergne-Rhône-Alpes;Bordeaux Centre;Lunettes de soleil;Homme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;323.9;118.85;31;Automne;✅ OK;0.37
2024-11-10;Nouvelle-Aquitaine;Lyon Part-Dieu;Lunettes de vue;Femme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;292.17;130.92;24;Automne;✅ OK;0.45
2024-03-26;Provence-Alpes-Côte d'Azur;Paris République;Accessoires;Enfant;0.1;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;138.14;59.64;5;Printemps;✅ OK;0.43
2022-03-21;Île-de-France;Lyon Part-Dieu;Lunettes enfant;Femme;0.2;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;244.85;62.76;36;Printemps;✅ OK;0.26
2021-05-23;Île-de-France;Bordeaux Centre;Accessoires;Enfant;0.2;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;70.05;13.48;10;Printemps;✅ OK;0.19
2023-09-26;Auvergne-Rhône-Alpes;Bordeaux Centre;Lunettes de vue;Femme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;276.2;47.78;55;Automne;✅ OK;0.17
2022-10-05;Île-de-France;Bordeaux Centre;Accessoires;Femme;0.1;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;184.79;31.04;22;Automne;✅ OK;0.17
2021-06-28;Nouvelle-Aquitaine;Bordeaux Centre;Lunettes de soleil;Homme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;154.48;27.25;27;Été;✅ OK;0.18
2022-12-24;Occitanie;Marseille Prado;Lunettes de soleil;Homme;0.1;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;239.53;106.32;48;Hiver;✅ OK;0.44
2021-02-20;Auvergne-Rhône-Alpes;Paris République;Lunettes de vue;Femme;0.1;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;78.28;34.92;40;Hiver;✅ OK;0.45
2024-08-20;Occitanie;Lyon Part-Dieu;Lunettes de vue;Homme;0.15;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;267.27;49.37;55;Été;✅ OK;0.18
2022-01-13;Île-de-France;Marseille Prado;Lunettes de vue;Femme;0.1;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;128.26;22.39;32;Hiver;✅ OK;0.17
2023-08-26;Provence-Alpes-Côte d'Azur;Toulouse Jean Jaurès;Lunettes de soleil;Femme;0.1;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;268.18;93.69;20;Été;✅ OK;0.35
2022-04-01;Nouvelle-Aquitaine;Bordeaux Centre;Lunettes de vue;Homme;0.2;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;128.29;50.76;50;Printemps;✅ OK;0.4
2023-01-30;Île-de-France;Lyon Part-Dieu;Lunettes de vue;Femme;0.3;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;192.87;72.8;38;Hiver;✅ OK;0.38
2023-03-10;Nouvelle-Aquitaine;Toulouse Jean Jaurès;Accessoires;Femme;0.15;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;278.3;42.52;26;Printemps;✅ OK;0.15
2021-09-27;Île-de-France;Paris République;Lunettes de soleil;Enfant;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;263.56;73.91;11;Automne;✅ OK;0.28
2024-11-16;Île-de-France;Lyon Part-Dieu;Lunettes de soleil;Homme;0.3;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;95.03;34.78;53;Automne;✅ OK;0.37
2024-02-06;Île-de-France;Marseille Prado;Lunettes de soleil;Femme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;212.78;83.8;40;Hiver;✅ OK;0.39
2024-10-03;Auvergne-Rhône-Alpes;Toulouse Jean Jaurès;Lunettes de soleil;Homme;0.15;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;226.11;81.01;41;Automne;✅ OK;0.36
2024-07-30;Occitanie;Lyon Part-Dieu;Lunettes de vue;Homme;0.15;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;279.51;69.57;28;Été;✅ OK;0.25
2023-05-23;Provence-Alpes-Côte d'Azur;Marseille Prado;Lunettes de soleil;Homme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;113.42;26.23;51;Printemps;✅ OK;0.23
2024-09-07;Occitanie;Bordeaux Centre;Lunettes de soleil;Homme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;273.14;108.9;19;Automne;✅ OK;0.4
2021-05-10;Occitanie;Lyon Part-Dieu;Lunettes de vue;Homme;0.2;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;209.48;65.57;33;Printemps;✅ OK;0.31
2021-10-14;Nouvelle-Aquitaine;Bordeaux Centre;Lunettes de vue;Femme;0.4;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;95.48;21.61;40;Automne;⚠️ À vérifier;0.23
2021-03-08;Auvergne-Rhône-Alpes;Toulouse Jean Jaurès;Lunettes de vue;Femme;0.1;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;191.46;78.54;23;Printemps;✅ OK;0.41
2022-04-20;Auvergne-Rhône-Alpes;Toulouse Jean Jaurès;Lunettes de soleil;Homme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;283.3;111.91;19;Printemps;✅ OK;0.4
2022-07-22;Île-de-France;Toulouse Jean Jaurès;Lunettes de vue;Homme;0.1;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;74.95;22.34;39;Été;✅ OK;0.3
2022-02-01;Occitanie;Bordeaux Centre;Lunettes de soleil;Femme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;131.31;51.62;22;Hiver;✅ OK;0.39
2024-04-24;Provence-Alpes-Côte d'Azur;Bordeaux Centre;Lunettes de vue;Enfant;0.15;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;270.59;48.99;12;Printemps;✅ OK;0.18
2022-06-05;Nouvelle-Aquitaine;Marseille Prado;Lunettes de soleil;Femme;0.3;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;69.96;29.54;36;Été;⚠️ À vérifier;0.42
2022-02-15;Auvergne-Rhône-Alpes;Lyon Part-Dieu;Accessoires;Femme;0.0;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;217.84;96.58;51;Hiver;✅ OK;0.44
2023-03-04;Île-de-France;Marseille Prado;Lunettes enfant;Femme;0.2;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;184.93;28.34;21;Printemps;✅ OK;0.15
2021-07-25;Provence-Alpes-Côte d'Azur;Bordeaux Centre;Lunettes de soleil;Homme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;150.36;61.65;20;Été;✅ OK;0.41
2024-03-17;Occitanie;Lyon Part-Dieu;Lunettes de vue;Femme;0.2;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;146.57;55.05;51;Printemps;✅ OK;0.38
2021-04-19;Provence-Alpes-Côte d'Azur;Toulouse Jean Jaurès;Lunettes de soleil;Enfant;0.1;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;292.37;118.86;11;Printemps;✅ OK;0.41
2024-12-11;Auvergne-Rhône-Alpes;Marseille Prado;Lunettes de soleil;Enfant;0.4;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;52.15;12.47;13;Hiver;⚠️ À vérifier;0.24
2024-02-02;Nouvelle-Aquitaine;Marseille Prado;Lunettes enfant;Femme;0.15;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;97.92;42.74;18;Hiver;✅ OK;0.44
2021-10-18;Occitanie;Marseille Prado;Lunettes enfant;Femme;0.2;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;257.87;103.12;45;Automne;✅ OK;0.4
2021-01-09;Nouvelle-Aquitaine;Bordeaux Centre;Lunettes de vue;Femme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;120.21;32.9;53;Hiver;✅ OK;0.27
2024-04-05;Provence-Alpes-Côte d'Azur;Lyon Part-Dieu;Lunettes de soleil;Femme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;95.04;36.74;25;Printemps;✅ OK;0.39
2023-10-30;Provence-Alpes-Côte d'Azur;Toulouse Jean Jaurès;Lunettes de vue;Homme;0.1;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;210.28;58.42;27;Automne;✅ OK;0.28
2023-12-01;Île-de-France;Bordeaux Centre;Lunettes de vue;Homme;0.1;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;311.06;77.43;42;Hiver;✅ OK;0.25
2024-02-01;Occitanie;Toulouse Jean Jaurès;Lunettes de soleil;Femme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;156.12;30.26;44;Hiver;✅ OK;0.19
2021-04-19;Provence-Alpes-Côte d'Azur;Paris République;Lunettes de soleil;Enfant;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;216.28;92.63;7;Printemps;✅ OK;0.43
2022-06-08;Auvergne-Rhône-Alpes;Paris République;Lunettes de soleil;Enfant;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;301.39;66.14;8;Été;✅ OK;0.22
2021-06-19;Auvergne-Rhône-Alpes;Toulouse Jean Jaurès;Lunettes enfant;Homme;0.1;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;238.48;72.34;42;Été;✅ OK;0.3
2024-06-14;Nouvelle-Aquitaine;Paris République;Lunettes de soleil;Homme;0.15;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;296.55;91.5;47;Été;✅ OK;0.31
2023-06-30;Auvergne-Rhône-Alpes;Lyon Part-Dieu;Accessoires;Homme;0.0;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;241.55;38.69;33;Été;✅ OK;0.16
2022-04-29;Provence-Alpes-Côte d'Azur;Lyon Part-Dieu;Lunettes de soleil;Femme;0.15;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;159.38;62.0;52;Printemps;✅ OK;0.39
2021-04-03;Auvergne-Rhône-Alpes;Bordeaux Centre;Accessoires;Homme;0.1;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;147.06;52.65;38;Printemps;✅ OK;0.36
2022-03-31;Occitanie;Toulouse Jean Jaurès;Lunettes de soleil;Homme;0.1;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;311.84;73.87;57;Printemps;✅ OK;0.24
2022-04-20;Nouvelle-Aquitaine;Bordeaux Centre;Lunettes de soleil;Femme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;296.35;127.39;39;Printemps;✅ OK;0.43
2023-12-02;Occitanie;Lyon Part-Dieu;Lunettes de soleil;Homme;0.1;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;269.58;120.63;21;Hiver;✅ OK;0.45
2023-07-20;Provence-Alpes-Côte d'Azur;Lyon Part-Dieu;Lunettes de soleil;Femme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;124.44;43.82;50;Été;✅ OK;0.35
2024-07-19;Provence-Alpes-Côte d'Azur;Lyon Part-Dieu;Lunettes de soleil;Homme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;198.91;74.51;48;Été;✅ OK;0.37
2022-11-21;Auvergne-Rhône-Alpes;Marseille Prado;Lunettes de soleil;Homme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;76.36;12.82;50;Automne;✅ OK;0.17
2021-06-24;Île-de-France;Paris République;Lunettes de soleil;Femme;0.1;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;197.67;55.47;57;Été;✅ OK;0.28
2023-11-08;Île-de-France;Bordeaux Centre;Lunettes enfant;Femme;0.0;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;90.66;14.27;37;Automne;✅ OK;0.16
2024-01-16;Provence-Alpes-Côte d'Azur;Bordeaux Centre;Lunettes de vue;Homme;0.4;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;75.09;27.46;29;Hiver;⚠️ À vérifier;0.37
2023-03-31;Provence-Alpes-Côte d'Azur;Lyon Part-Dieu;Lunettes de soleil;Homme;0.15;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;126.62;50.55;47;Printemps;✅ OK;0.4
2024-01-31;Nouvelle-Aquitaine;Marseille Prado;Lunettes de soleil;Homme;0.1;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;268.93;49.94;50;Hiver;✅ OK;0.19
2022-12-22;Provence-Alpes-Côte d'Azur;Bordeaux Centre;Lunettes de vue;Homme;0.1;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;88.82;15.82;44;Hiver;✅ OK;0.18
2023-02-03;Provence-Alpes-Côte d'Azur;Bordeaux Centre;Accessoires;Femme;0.1;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;291.68;115.8;37;Hiver;✅ OK;0.4
2022-09-17;Nouvelle-Aquitaine;Marseille Prado;Lunettes enfant;Femme;0.1;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;205.71;62.15;59;Automne;✅ OK;0.3
2021-02-07;Occitanie;Lyon Part-Dieu;Lunettes de vue;Femme;0.3;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;70.31;28.4;38;Hiver;⚠️ À vérifier;0.4
2021-06-07;Occitanie;Marseille Prado;Lunettes de vue;Enfant;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;346.34;93.07;10;Été;✅ OK;0.27
2021-02-15;Nouvelle-Aquitaine;Paris République;Lunettes de soleil;Homme;0.0;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;70.58;14.28;21;Hiver;✅ OK;0.2
2023-07-19;Nouvelle-Aquitaine;Bordeaux Centre;Lunettes de vue;Homme;0.2;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;92.5;24.17;46;Été;✅ OK;0.26
2022-04-04;Occitanie;Paris République;Lunettes de soleil;Femme;0.3;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;85.04;19.88;21;Printemps;⚠️ À vérifier;0.23
2023-01-13;Occitanie;Bordeaux Centre;Lunettes de vue;Homme;0.15;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;266.13;80.57;28;Hiver;✅ OK;0.3
2024-08-18;Occitanie;Paris République;Lunettes enfant;Femme;0.0;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;167.39;69.84;52;Été;✅ OK;0.42
2021-12-30;Occitanie;Bordeaux Centre;Lunettes enfant;Homme;0.3;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;212.63;54.7;53;Hiver;✅ OK;0.26
2022-08-23;Auvergne-Rhône-Alpes;Lyon Part-Dieu;Lunettes de vue;Femme;0.2;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;65.44;24.25;42;Été;✅ OK;0.37
2024-01-09;Nouvelle-Aquitaine;Toulouse Jean Jaurès;Lunettes enfant;Homme;0.0;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;338.41;115.63;51;Hiver;✅ OK;0.34
2021-12-01;Île-de-France;Marseille Prado;Accessoires;Femme;0.0;https://images.unsplash.com/photo-1589987601451-dc25de1c688c?auto=format&fit=crop&w=640&q=80;309.04;67.01;23;Hiver;✅ OK;0.22
2021-04-23;Auvergne-Rhône-Alpes;Bordeaux Centre;Lunettes de soleil;Homme;0.2;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;162.6;39.87;28;Printemps;✅ OK;0.25
2022-02-28;Île-de-France;Marseille Prado;Lunettes de vue;Femme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;112.81;23.91;46;Hiver;✅ OK;0.21
2021-08-24;Île-de-France;Bordeaux Centre;Lunettes enfant;Femme;0.15;https://images.unsplash.com/photo-1604525409136-d246b8f6a9f1?auto=format&fit=crop&w=640&q=80;112.74;42.56;59;Été;✅ OK;0.38
2024-09-19;Provence-Alpes-Côte d'Azur;Toulouse Jean Jaurès;Lunettes de vue;Femme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;133.78;25.21;45;Automne;✅ OK;0.19
2024-03-25;Nouvelle-Aquitaine;Lyon Part-Dieu;Lunettes de soleil;Homme;0.15;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;226.76;73.37;19;Printemps;✅ OK;0.32
2023-07-14;Auvergne-Rhône-Alpes;Lyon Part-Dieu;Lunettes de vue;Femme;0.0;https://images.unsplash.com/photo-1604066867775-43f48e3957d7?auto=format&fit=crop&w=640&q=80;174.96;35.23;52;Été;✅ OK;0.2
2024-06-26;Nouvelle-Aquitaine;Marseille Prado;Lunettes de soleil;Femme;0.15;https://images.unsplash.com/photo-1516822003754-cca485356ecb?auto=format&fit=crop&w=640&q=80;60.24;12.6;59;Été;✅ OK;0.21
